Date,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ASM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MNP,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,OWID_CIS,OWID_WRL,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VIR,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
1960,,0.035,0.067,0.276,,,1.351,,,0.294,,1.2,,0.01,1.3,0.04,0.011,,1.405,0.45,0.496,,,0.242,,0.267,0.374,0.329,,,0.042,0.02,,1.4,0.559,,0.033,0.034,0.015,0.06,0.354,,0.077,0.391,0.946,,,,,0.157,0.133,,0.121,0.173,0.396,0.391,,,,0.009,,0.495,,,0.117,0.8,,0.047,0.036,0.043,0.045,0.167,1.3,0.222,1.169,0.184,,0.255,0.327,0.081,,0.105,1.5,0.021,0.248,0.21,,0.244,0.195,1.2,2.472,,0.386,0.346,1.0,,0.092,,0.028,0.541,0.235,,0.871,0.02,0.778,0.077,0.152,0.139,0.223,0.042,,1.0,,0.41,0.106,,,0.115,,,,,0.014,0.891,0.065,,0.91,,0.043,0.024,0.215,0.027,0.143,,,0.011,0.017,0.34,1.1,1.2,0.013,,,0.03,1.019,,0.185,0.356,0.51,0.146,,,1.0,,,0.8,0.534,,,,1.269,,0.008,0.061,0.03,0.044,0.42,0.186,0.047,0.187,,0.024,,,0.3,0.51,,,1.0,0.104,0.312,0.216,0.014,0.021,0.129,,,,0.375,0.418,0.1,0.3,,0.055,0.074,,1.064,1.1,,0.1,0.666,,,0.277,0.441,0.023,,0.107,0.202
1961,,,,,,,,,,,1.1,1.4,,,1.3,,,,,,,,,,,,,,,,,,1.1,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.2,,,,,,,,,,1.6,,,,,,,1.2,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,1.1,,,,,,,,,,1.0,,,0.8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.3,,0.04,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,1.4,,,1.4,,,,,,,,,,,,,,,,,,1.2,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.3,,,,,,,,,,1.7,,,,,,,1.2,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.2,,,,,,,,,,,,,1.1,,,0.9,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,1.4,,,1.4,,,,,,,,,,,,,,,,,,1.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.3,,,,,,,,,,1.7,,,,,,,1.2,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.1,,,,,,,,,,,,,1.1,,,0.8,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,1.4,,,1.4,,,,,,,,,,,,,,,,,,1.3,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.4,,,,,,,,,,1.8,,,,,,,1.2,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.2,,,,,,,,,,,,,1.2,,,0.8,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,
1965,,0.063,0.076,0.481,,,1.667,,,,,1.4,,0.017,1.5,0.03,0.014,0.123,1.667,,,,,,,0.311,0.4,,,,0.036,0.03,1.3,1.4,0.473,1.07,0.048,0.037,0.028,0.068,0.377,,,0.517,0.876,,,,,,,,0.588,0.116,0.335,0.435,,,,0.014,,,,,,0.9,,0.073,0.022,,,,1.4,,,0.271,,,0.396,0.19,,0.07,1.9,0.032,0.26,0.205,,0.257,0.2,1.2,2.5,,0.502,0.37,1.0,,0.075,,0.045,,,,1.263,0.041,0.938,0.08,0.259,,0.172,0.048,,1.0,,,0.082,,,0.093,,,,,0.019,,0.085,,1.378,,0.056,0.027,0.255,0.021,0.161,,,0.016,0.043,0.378,1.2,1.3,0.021,,,0.038,,,,0.478,0.605,,,0.079,1.2,,,0.9,0.533,,,,1.316,,0.014,0.106,0.041,0.051,0.526,,0.059,,,0.027,,,,,,,1.1,,,0.185,0.014,0.043,0.14,,,,,0.262,0.125,0.4,,0.045,0.09,,1.136,1.2,,,0.815,,,,,0.032,0.488,0.088,0.125
1966,,,,,,,,,,,1.2,1.4,,,1.5,,,,,,,,,,,,,,,,,,1.3,1.4,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.4,,,,,,,,,,1.9,,,,,,,1.2,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.3,,,1.1,,,,,,,,,,1.3,,,0.9,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,1.4,,,1.5,,,,,,,,,,,,,,,,,,1.3,1.4,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.5,,,,,,,,,,2.0,,,,,,,1.2,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.3,,,,,,,,,,,,,1.3,,,0.9,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,1.4,,,1.6,,,,,,,,,,,,,,,,,,1.3,1.4,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.5,,,,,,,,,,1.9,,,,,,,1.3,,,,,1.0,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.4,,,,,,,,,,,,,1.4,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,
1969,,,,,,,,,,,,1.4,,,1.6,,,,,,,,,,,,,,,,,,1.4,1.5,,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,,1.6,,,,,,,,,,2.0,,,,,,,1.3,,,,,1.1,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,1.4,,,,,,,,,,,,,1.4,,,0.9,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,
1970,,0.065,0.116,0.739,,0.909,1.892,,,0.349,,1.4,,0.017,,0.034,0.01,0.119,1.863,0.429,0.76,,,0.342,,0.509,0.492,0.523,0.3,,0.064,0.023,1.4,1.5,0.463,0.86,0.064,0.034,0.035,0.101,0.42,,0.082,0.614,0.822,,,1.8,,0.284,0.161,,,0.123,0.348,0.527,,,,0.012,,0.471,1.2,,0.191,0.9,3.2,0.078,0.02,0.041,0.052,0.086,1.6,0.346,0.905,0.274,,0.235,0.663,0.269,,0.08,2.0,0.037,0.308,0.205,,0.306,0.309,1.4,2.881,,0.38,0.404,1.1,,0.125,,0.062,0.613,0.312,,0.954,0.066,0.726,0.079,0.368,0.187,0.169,0.032,,1.1,,0.634,0.076,2.4,,0.097,0.033,,,0.89,0.023,1.072,0.114,,1.729,,0.053,0.056,0.24,0.013,0.232,,,0.017,0.05,0.453,1.2,1.4,0.019,,,,1.2,,0.232,0.613,0.521,0.111,,0.086,1.4,,,0.9,0.435,,,0.513,1.185,,0.017,0.134,0.068,0.063,0.657,0.205,0.056,0.243,,0.037,,,0.233,0.465,,,1.3,0.124,0.224,0.259,0.016,0.035,0.121,,,,0.256,0.445,0.169,,,0.044,0.108,,1.093,1.2,,0.182,0.883,,,0.301,0.35,0.029,,0.073,0.162
1971,,,,0.911,,,,,,,1.2,1.4,,,1.5,,,,1.896,,,,,,,,,,,,,,1.5,1.6,,0.85,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,1.3,,,1.0,3.3,,,,,,1.7,,,,,,,,,,2.1,,,,,,,1.5,2.974,,,,1.1,,,,,,,,,,,,,,,,,1.2,,,,1.958,,,,,,0.919,,1.026,,,,,,,,,,,,,,,1.3,1.5,,,1.1,,,,,,,,,,1.5,,,1.0,,,,,1.208,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,,,,0.845,,,,,,,,1.4,,,1.6,,,,1.985,,,,,,,,,,,,,,1.6,1.6,,0.86,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,1.3,,,1.0,3.32,,,,,,1.7,,,,,,,,,,2.1,,,,,,,1.6,3.156,,,,1.1,,,,,,,,,,,,,,,,,1.2,,,,2.208,,,,,,0.953,,,,,,,,,,,,,,,,,1.4,1.5,,,,,,,,,,,,,1.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,,,,,,,,,,,1.4,,,1.7,,,,2.042,,,,,,,,,,,,,,1.6,1.7,,0.89,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,1.4,,,1.1,3.4,,,,,,1.9,,,,,,,,,,2.2,,,,,,,1.6,3.304,,,,1.1,,,,,,,,,,,,,,,,,1.2,,,,2.25,,,,,,1.012,,,,,,,,,,,,,,,,,1.4,1.6,,,1.2,,,,,,,,,0.056,1.5,,,1.1,,,,,1.242,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,,,,,,,,,,,,1.4,,,1.8,,,,2.102,,,,,,,,,,,,,,1.6,1.8,,0.92,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.4,,,1.1,3.475,,,,,,2.0,,,,,,,,,,2.2,,,,,,,1.7,,,,,1.1,,,,,,,,,,,,,,,,,1.2,,,,2.375,,,,,,1.025,,,,,,,,,,,,,,,,,1.5,1.7,,,,,,,,,,,,,1.6,,,1.2,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,0.904,,,,,,,,
1975,,,,,,,1.869,,,,,1.5,,0.012,1.9,,,,2.152,,,,,,,0.49,0.624,,,,0.133,,1.7,1.9,,0.96,,0.072,0.036,,,,,,,,,2.0,,,,,0.435,,0.351,0.536,,,,0.012,,0.476,1.5,,,1.1,3.63,0.078,,0.04,,,2.0,,,,,0.249,0.672,0.269,,0.081,2.2,0.037,,0.204,,,,1.8,,,,0.378,1.1,,0.127,,,,,,,,,0.08,,,0.169,0.032,,1.3,,,0.076,2.36,,0.096,,,,1.121,0.023,1.276,,,,,,0.055,0.235,,0.234,,,0.016,0.049,0.46,1.6,1.7,0.019,,,,,,0.233,0.597,0.526,0.113,,0.085,1.6,,,1.2,0.439,,,,1.318,,0.017,,0.068,0.061,0.667,,0.054,0.242,,0.038,,,,,,,1.7,,0.218,0.256,,0.035,,,,,,0.454,0.169,,,0.044,0.108,,1.111,1.3,,,0.904,,,,,,0.539,0.074,0.158
1976,,,,,,,,,,,1.5,1.5,,,1.9,,,,2.205,,,,,,,,,,,,,,1.7,2.0,,1.0,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,1.5,,,1.2,3.72,,,,,,2.1,,,,,,,,,,2.3,,,,,,,1.9,,,,,1.1,,,,,,,,,0.051,,,,,,,,1.3,,,,2.417,,,,,,1.114,,,,,,,,,,,,,,,,,1.7,1.8,,,1.3,,,,,,,,,,1.6,,,1.3,,,,,1.332,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,1.3,,,0.904,,,,,,,,
1977,,,,1.036,,,,,,,,1.5,,,2.0,,,,2.258,,,,,,,,,,,,,,1.7,2.1,,1.03,,,,,0.478,,,,,,,2.1,,,,,,,0.637,,,,,,,,1.6,,,1.2,3.81,,,,,,2.2,,,,,,,,,,2.3,,,,,,,1.9,,,,,1.2,,,,,,,,,,,,,,,,,1.3,,,,2.4,,,,,,1.158,,,,,,,,0.069,,,,,,,,,1.7,1.9,,,1.4,,,,,,,,,,1.7,,,1.5,,,,,1.355,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,
1978,,,,,,,,,,,,1.5,,,2.1,,,,2.321,,,,,,,,,,,,,,1.8,2.2,,,,,,0.174,,,,,,,,2.1,,,,,,,,,,,,,,,1.7,,,1.2,3.95,,,,,,2.3,,,,,,,,,,2.4,,,,,,,2.0,,,,,1.2,,,,,,,,,,,,,,,,,1.5,,,,2.32,,,,,,1.238,,,,,,,,,,,,,,,,,1.8,1.9,,,1.4,,,,,,,,,,1.7,,,1.7,,,,,1.377,,,,,,,,,,,,,,,,,,2.0,,,,0.021,,,,,,,,,,,,,,,1.4,,,,,,,,,0.551,,
